             subject_context                                                         name operation                                object_context  reference_result  medusa_result
system_u:system_r:httpd_t:s0                                             /etc/cron.hourly      read                    system_u:object_r:bin_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                  /etc/bashrc      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                               /etc/csh.cshrc      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                               /etc/csh.login      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                             /etc/environment      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                              /etc/ethertypes      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                             /etc/filesystems      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                   /etc/group      read            system_u:object_r:passwd_file_t:s0                 1              0
system_u:system_r:httpd_t:s0                                               /etc/host.conf      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                   /etc/hosts      read               system_u:object_r:net_conf_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                 /etc/inputrc      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                    /etc/motd      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                /etc/networks      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                  /etc/passwd      read            system_u:object_r:passwd_file_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                 /etc/profile      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                               /etc/protocols      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                /etc/services      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                  /etc/shells      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                  /etc/subgid      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                  /etc/subuid      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                     /etc/X11      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                       /etc/bash_completion.d      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                     /etc/opt      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                      /etc/pm      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                 /etc/rwtab.d      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                    /etc/skel      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                              /etc/statetab.d      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                               /etc/sysconfig      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                     /etc/xdg      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                             /etc/libblockdev      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                            /etc/ld.so.conf.d      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                /etc/plymouth      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                              /etc/ld.so.conf      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                     /etc/rpc      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                 /etc/gdbinit      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                  /etc/popt.d      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                    /etc/sgml      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                           /etc/libaudit.conf      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                            /etc/alternatives      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                  /etc/pkcs11      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                   /etc/libnl      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                  /etc/gcrypt      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                  /etc/grub.d      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                     /etc/xml      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                              /etc/xattr.conf      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                   /etc/sasl2      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                /etc/gssproxy      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                   /etc/magic      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                     /etc/egl      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                           /etc/request-key.d      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                        /etc/request-key.conf      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                            /etc/libibverbs.d      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                   /etc/groff      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                  /etc/dbus-1      read              system_u:object_r:dbusd_etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                               /etc/pkgconfig      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                             /etc/GREP_COLORS      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                              /etc/DIR_COLORS      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                /etc/iproute2      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                /etc/security      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                     /etc/gss      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                               /etc/krb5.conf      read              system_u:object_r:krb5_conf_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                /etc/openldap      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                  /etc/kernel      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                    /etc/udev      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                               /etc/cron.deny      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                  /etc/bindresvport.blacklist      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                               /etc/netconfig      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                /etc/tpm2-tss      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                              /etc/cifs-utils      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                              /etc/anacrontab      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                    /etc/alsa      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                           /etc/sestatus.conf      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                     /etc/rpm      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                           /etc/dracut.conf.d      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                             /etc/dracut.conf      read                    system_u:object_r:etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                   /etc/samba      read              system_u:object_r:samba_etc_t:s0                 1              0
system_u:system_r:httpd_t:s0                                                     /etc/ssh      read                    system_u:object_r:etc_t:s0                 1              0
